,level_0,State,County,Est. Citizen VAP,Active Registrations,Ballots Counted,Polling Places,Poll Workers,Year,Hours Open,Time to Vote
1685,1685,NC,Buncombe,163657,140227,106033,73,852,2004,12,319.3450666058134
1686,1686,NC,Burke,66068,50672,34049,31,146,2004,12,64.30880350482505
1687,1687,NC,Cabarrus,103817,87673,61879,42,358,2004,12,123.4792526860871
1688,1688,NC,Caldwell,59113,47219,31917,24,135,2004,12,49.40279542566709
1689,1689,NC,Camden,6457,5823,3931,3,15,2004,12,5.563186813186813
1690,1690,NC,Carteret,48983,40710,30810,35,175,2004,12,108.32453145341555
1691,1691,NC,Caswell,18088,13496,9683,11,58,2004,12,34.034229828850854
1692,1692,NC,Catawba,105050,92764,59763,40,272,2004,12,84.44564221419716
1693,1693,NC,Chatham,40731,34364,26308,23,164,2004,12,79.02924487123526
1694,1694,NC,Cherokee,20206,17269,11427,17,112,2004,12,79.37927041111755
1695,1695,NC,Chowan,11053,8516,5399,6,40,2004,12,20.288834096512858
1696,1696,NC,Clay,7776,6823,4956,9,63,2004,12,59.824150058616645
1697,1697,NC,Cleveland,72762,52305,37637,28,218,2004,12,84.02248308033495
1698,1698,NC,Columbus,39841,35183,21376,26,177,2004,12,94.17462482946794
1699,1699,NC,Craven,66555,54854,37914,26,250,2004,12,85.31583264971287
1700,1700,NC,Cumberland,208049,158671,97511,65,486,2004,12,143.34476152062115
1701,1701,NC,Currituck,16937,13420,9178,11,81,2004,12,47.79971686163475
1702,1702,NC,Dare,26740,22458,16064,16,102,2004,12,52.31933745937041
1703,1703,NC,Davidson,113289,87113,60728,42,386,2004,12,133.99269922170947
1704,1704,NC,Davie,27990,22110,16893,14,110,2004,12,50.146985663244536
1705,1705,NC,Duplin,34123,25280,17061,19,132,2004,12,71.42755428978285
1706,1706,NC,Durham,163658,152647,111685,55,560,2004,12,145.27540485299514
1707,1707,NC,Edgecombe,39061,33575,21313,21,187,2004,12,84.21015010721945
1708,1708,NC,Forsyth,228131,175673,140354,101,666,2004,12,275.68974350216877
1709,1709,NC,Franklin,39243,27849,21202,17,203,2004,12,89.21795332136445
1710,1710,NC,Gaston,140920,106718,64676,46,520,2004,12,161.3808225339443
1711,1711,NC,Gates,8075,6651,4278,5,27,2004,12,14.612146722790138
1712,1712,NC,Graham,6183,6499,4040,4,62,2004,12,27.470769230769232
1713,1713,NC,Granville,38472,26547,18881,14,169,2004,12,64.1675455778213
1714,1714,NC,Greene,14750,9416,6615,10,46,2004,12,35.17043644472762
1715,1715,NC,Guilford,314038,266631,201757,159,1539,2004,12,660.7786012181583
1716,1716,NC,Halifax,41534,30036,19880,30,120,2004,12,86.29357126211006
1717,1717,NC,Harnett,71739,50225,33124,22,178,2004,12,56.136662286465175
1718,1718,NC,Haywood,44064,36886,26724,30,137,2004,12,80.223384932361
1719,1719,NC,Henderson,72197,64387,44090,35,270,2004,12,105.67186432254458
1720,1720,NC,Hertford,16810,13143,8246,13,72,2004,12,51.27206329884358
1721,1721,NC,Hoke,26225,18487,11221,13,77,2004,12,38.98312418866291
1722,1722,NC,Hyde,4304,3467,2306,7,35,2004,12,50.865051903114185
1723,1723,NC,Iredell,98524,77289,57554,29,300,2004,12,81.04541337818605
1724,1724,NC,Jackson,27915,22999,14637,18,115,2004,12,64.8
1725,1725,NC,Johnston,98288,77494,55162,35,247,2004,12,80.32002064649332
