,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
539,Muskingum,OH,86183,32043,34366,5280,10324,10047,11601,8667,5098,1424,86183,81816,6022,634,827,0,0,10018,11562,12162,OHIO,55015,29605,28.0,238.0,12,87.21403253656509
540,Portage,OH,162927,62440,67803,18936,18497,17266,20776,16502,7921,2762,162927,152300,10048,0,4157,0,377,16740,21145,22382,OHIO,109364,62141,55.0,593.0,12,214.721480560311
541,Trumbull,OH,198627,75294,81381,10719,23088,21694,25541,24720,12163,6266,198627,180313,19347,1183,1564,0,356,20833,23823,29780,OHIO,141548,76504,67.0,632.0,12,215.38757170710883
542,Wagoner,OK,80110,28539,30092,4529,9734,10452,10476,8011,4001,959,80110,66194,4025,12896,1625,0,2321,10083,11419,10446,OKLAHOMA,37882,26040,31.0,106.0,12,62.45499181667746
543,Kershaw,SC,65592,23735,25950,3653,5389,8492,9636,7416,3119,1393,65592,49273,16714,0,605,0,1547,7828,9218,9448,SOUTH CAROLINA,46126,23769,36.0,187.0,12,105.08259983521114
544,Laurens,SC,66994,23811,27227,4290,7351,8035,8854,7864,4265,497,66994,49170,17382,362,0,0,1632,7120,9641,9077,SOUTH CAROLINA,42976,20574,36.0,187.0,12,112.78481012655605
545,Oconee,SC,78374,30491,32033,4740,8681,7366,9248,11362,5789,1482,78374,71430,6718,1367,1104,0,0,8648,8604,12454,SOUTH CAROLINA,55810,27860,31.0,152.0,12,60.78910589499
546,Orangeburg,SC,86934,31337,36480,6487,10812,9379,10328,10063,5250,1553,86934,32264,54156,879,838,0,412,9217,11887,11958,SOUTH CAROLINA,63524,31049,56.0,210.0,12,133.29135444869132
547,Anderson,TN,76482,28964,30552,4413,9132,8561,9605,8791,5024,1490,76482,71739,3872,658,1375,0,646,9016,9210,11240,TENNESSEE,42772,26310,31.0,195.0,12,101.75815954360289
548,Bexar,TX,1986049,648124,683538,146167,316666,268220,236977,144102,70600,25750,1986049,1660321,179860,29078,76343,4544,106984,273154,294566,209847,TEXAS,963623,551896,302.0,1260.0,12,284.3169994904617
549,Comal,TX,148373,53863,55572,8069,16852,18675,19211,16771,6308,3363,148373,141813,5069,989,2863,0,2700,18262,19150,21712,TEXAS,90411,62296,25.0,179.0,12,35.63725652851582
550,Guadalupe,TX,163694,57645,60838,8691,20951,22350,22788,13907,6356,1829,163694,135030,16688,1869,4763,0,10110,22662,24447,19713,TEXAS,87481,55032,34.0,143.0,12,40.016003475035724
551,Hidalgo,TX,865939,209843,212957,65787,116806,109162,95222,53503,31970,10542,865939,762664,5426,2096,9218,0,98024,152561,158203,72183,TEXAS,337245,153204,74.0,355.0,12,56.08504203175566
552,Midland,TX,172578,54179,55501,10478,30275,24514,17803,10396,5471,2333,172578,146691,14411,3526,5401,0,7244,28217,25173,17918,TEXAS,74109,43127,20.0,99.0,12,19.23652997611367
553,Orange,TX,83572,29621,31777,5520,10779,9740,10262,7618,3985,1730,83572,74051,8254,753,1215,0,502,10965,11658,11315,TEXAS,48062,26409,34.0,135.0,12,68.7611834713352
554,Wise,TX,68305,24262,24617,3562,7812,8472,9388,6176,2798,1096,68305,63455,1941,994,0,0,2936,8648,10694,9659,TEXAS,37960,23328,21.0,75.0,12,29.87355110641995
