,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
441,Marion,FL,359977,133780,152801,17332,35714,35651,41766,55734,36135,12155,359977,303306,48567,2785,7899,593,6559,35704,39239,50547,FLORIDA,243088,156307,120.0,748.0,12,265.85927729874504
442,Okaloosa,FL,207269,78590,77258,13697,32246,24865,23973,20721,10756,2628,207269,171321,24099,2773,9990,1581,7521,25695,25671,27017,FLORIDA,135563,84446,42.0,353.0,12,78.74360998206895
443,Osceola,FL,367990,121913,126538,24345,51701,53959,49085,30076,13549,4802,367990,274090,54309,5292,13492,790,37812,47625,53472,39376,FLORIDA,218754,116475,41.0,373.0,12,50.33489673331458
444,Seminole,FL,467832,161643,177710,28377,67891,65496,64067,42822,21420,8492,467832,358241,63787,3174,27125,1352,29134,50381,58272,60614,FLORIDA,303668,200926,80.0,567.0,12,107.54903381323987
445,Volusia,FL,547538,209838,227477,31560,64654,57382,66708,75141,37603,21000,547538,449106,64907,3832,12964,499,25330,50525,59037,83928,FLORIDA,382408,231118,98.0,700.0,12,129.1604778142683
446,Bonneville,ID,116854,38682,39026,6943,15978,14906,12246,8907,3744,2395,116854,108299,631,1491,3142,590,7430,19311,19383,13041,IDAHO,56230,35718,51.0,395.0,12,257.94771474297386
447,Madison,IL,264461,97695,106307,15448,35137,32103,33937,25559,14808,5391,264461,235397,26496,1592,4044,0,2989,31924,32156,37998,ILLINOIS,180511,108136,136.0,1025.0,12,556.0215166942426
448,Vermilion,IL,76806,28439,29289,4618,8832,8542,9253,8280,4679,2197,76806,64029,11932,327,965,0,1270,9259,10586,10560,ILLINOIS,29744,15484,27.0,232.0,12,151.6299085529345
449,Will,IL,692310,238201,246685,44783,82261,93467,103525,55014,24406,11009,692310,533099,88174,8719,45616,560,44507,82426,108128,87291,ILLINOIS,429647,251044,246.0,1534.0,12,632.3844458357528
450,Floyd,IN,77781,28751,30981,4397,9966,9952,9843,7549,3201,1684,77781,72113,5669,275,1154,0,0,8991,10622,11576,INDIANA,54610,32191,18.0,144.0,12,34.17396081303165
451,Monroe,IN,146917,56816,59190,26157,21135,15416,13610,11357,4465,3224,146917,130066,7223,1430,12076,0,917,12435,24075,15043,INDIANA,88054,52718,34.0,321.0,12,89.241601744374
452,St. Joseph,IN,270771,94212,103595,19841,36085,31554,32235,24807,11722,6631,270771,218869,41824,2856,9127,567,8639,34704,38752,34440,INDIANA,173043,94199,148.0,915.0,12,563.457637696956
453,Hardin,KY,110356,39926,41204,7556,15539,13374,14316,9340,4885,1620,110356,91218,15764,1616,3729,403,3174,13971,15818,13937,KENTUCKY,84977,33873,46.0,226.0,12,88.08406980711392
454,Orleans Parish,LA,391006,140061,162698,24441,69532,53523,46427,35816,15826,5890,391006,140101,235836,2427,12607,314,8515,42202,45092,52257,LOUISIANA,246153,133249,124.0,1214.0,12,440.31931359762257
455,Terrebonne Parish,LA,111021,38619,42563,7606,15020,14566,13192,10490,4716,1436,111021,81173,22918,8109,1556,0,780,15364,14906,13725,LOUISIANA,61366,30952,50.0,392.0,12,229.96447544238995
456,Penobscot,ME,151096,60551,61819,10860,19635,17658,19998,16205,7926,3630,151096,145171,2578,3213,2351,0,0,14222,17945,23017,MAINE,1112,722,1.0,7.0,12,4.532374100678666
457,Baltimore,MD,828431,283259,328533,50076,113916,101379,105655,79614,42568,20360,828431,514401,256152,8413,59250,5770,15438,96329,104925,113609,MARYLAND,553937,328973,186.0,2984.0,12,721.4128682503475
458,Cecil,MD,102826,38412,39795,6263,12399,12087,15012,10255,4055,1894,102826,92942,9304,585,2363,0,885,13112,12605,15144,MARYLAND,64912,35400,19.0,283.0,12,59.64136061127994
459,Washington,MD,150926,57469,56630,9488,20066,18604,21438,14612,8703,2751,150926,128696,20862,532,3865,906,1432,16573,19168,19523,MARYLAND,95102,51504,49.0,567.0,12,210.34005593991606
460,Midland,MI,83209,30738,32652,4522,10323,9572,11299,8670,4600,2269,83209,79165,1606,753,2194,0,430,9672,10646,11636,MICHIGAN,56656,38974,32.0,338.0,12,137.45269697823048
461,Monroe,MI,150439,57601,60134,8564,18192,17043,20307,16071,7734,3738,150439,145527,5220,1223,1534,0,1094,16880,18633,23277,MICHIGAN,100813,66733,45.0,460.0,12,147.83807643853987
462,Oakland,MI,1259201,444729,481266,74811,167506,157317,176613,124807,59341,27438,1259201,969071,187650,10649,111661,1056,13161,137401,153990,179977,MICHIGAN,847283,612317,387.0,4200.0,12,1381.224455111204
463,Stearns,MN,159256,58348,58715,16551,19267,18021,18515,13349,7148,3498,159256,141349,12577,390,4446,0,3427,19855,24119,18933,MINNESOTA,91191,66737,71.0,626.0,12,350.92410435236474
464,Washington,MN,259201,92894,96851,13374,30280,36496,34925,23389,11160,4175,259201,226472,15891,3220,18618,0,2648,33307,35887,36208,MINNESOTA,166595,130940,77.0,1026.0,12,341.43545724659555
465,Middlesex,NJ,829685,269294,281344,54125,112507,114184,113665,71032,34948,18158,829685,489060,96254,5267,212950,1123,54559,96380,106319,108367,NEW JERSEY,475545,260919,251.0,2362.0,12,897.6240734315174
466,Morris,NJ,494228,175487,186679,30923,53395,61017,75741,46320,25557,12437,494228,415386,21994,2300,57651,513,10037,50237,65736,72865,NEW JERSEY,336081,221193,173.0,1766.0,12,654.5236416220895
467,Salem,NJ,62607,22642,25256,3338,7665,7451,8318,6759,3545,1431,62607,50431,9911,443,809,0,1986,6679,8165,9256,NEW JERSEY,40170,24163,27.0,180.0,12,87.10978342044135
468,Somerset,NJ,331164,113515,121193,19964,36719,44330,49692,28538,15854,7227,331164,228214,36027,2127,65147,0,10374,34332,45556,48952,NEW JERSEY,211518,138293,100.0,937.0,12,318.95157858904116
469,Sussex,NJ,140799,54406,55750,8351,15815,15713,21491,14613,7116,1947,140799,133110,4112,489,4058,0,1328,13619,17701,24433,NEW JERSEY,97033,61349,73.0,454.0,12,245.91881112608638
470,Chaves,NM,64689,21242,23668,4085,8312,7341,7692,5905,3366,1559,64689,55622,1960,1421,628,0,6538,8605,9918,7906,NEW MEXICO,16785,16816,21.0,70.0,12,63.05630026805895
471,Doña Ana,NM,217522,70179,73893,22577,28055,24386,22848,19851,11810,3125,217522,196345,5373,3661,3931,0,12826,28689,32009,24172,NEW MEXICO,61294,61375,50.0,160.0,12,93.97330896986753
