,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
1523,missouri,lewis,3693970,194050.0,16380.0,2935.0,100.0,2275.0,145.0,5690.0,5005.0,4975.0,3140.0,5140.0,1595.0,1485.0,4095.0,655.0,2340.0,1640.0,260.0,1250.0,635.0,6380.0,2060.0,930.0,625.0
1524,missouri,lincoln,6465410,283590.55,94075.0,15920.0,570.0,1275.0,995.0,28340.0,16830.0,31025.0,20190.0,21240.0,1830.0,15700.0,19555.0,4110.0,14635.0,6690.0,2445.0,6295.0,7715.0,22545.0,7210.0,5095.0,3800.0
1525,missouri,linn,4618900,122575.0,20660.0,3530.0,15.0,450.0,475.0,6590.0,4660.0,6060.0,3020.0,6700.0,1210.0,1805.0,4480.0,1275.0,3090.0,1360.0,2085.0,635.0,965.0,5670.0,1795.0,1415.0,1245.0
1526,missouri,livingston,4619525,120075.0,28095.0,2205.0,320.0,440.0,595.0,10060.0,5415.0,8305.0,4545.0,5955.0,2220.0,2545.0,4025.0,895.0,5620.0,1750.0,1015.0,1165.0,2030.0,7585.0,1820.0,1790.0,1820.0
1527,missouri,macon,4620150,240075.0,26975.0,3725.0,10.0,635.0,480.0,9960.0,5980.0,7330.0,5700.0,5405.0,1715.0,3295.0,4275.0,820.0,4365.0,2130.0,535.0,1285.0,1495.0,8875.0,2400.0,1220.0,1965.0
1528,missouri,madison,2772390,144030.0,19535.0,3050.0,70.0,910.0,375.0,5275.0,4140.0,6010.0,4055.0,5730.0,1570.0,2570.0,3545.0,910.0,3600.0,1845.0,160.0,1135.0,1370.0,4630.0,1255.0,1420.0,1200.0
1529,missouri,maries,2772615,132034.89999999997,14625.0,3130.0,65.0,430.0,90.0,6995.0,3035.0,4270.0,2865.0,3495.0,1735.0,1865.0,3440.0,645.0,1950.0,1235.0,290.0,1160.0,895.0,3680.0,875.0,1260.0,1630.0
1530,missouri,marion,7394740,384190.0,51600.0,7535.0,405.0,1855.0,790.0,18420.0,12950.0,15115.0,6700.0,13290.0,1335.0,3795.0,12080.0,1410.0,8560.0,4065.0,765.0,2545.0,3975.0,18080.0,5990.0,1770.0,2105.0
1531,missouri,mcdonald,3697970,14050.0,36640.0,6530.0,190.0,525.0,1185.0,9175.0,9280.0,11935.0,7170.0,11200.0,2010.0,4800.0,11800.0,855.0,9645.0,2140.0,665.0,1025.0,2565.0,6455.0,3445.0,2045.0,1310.0
1532,missouri,mercer,1849135,47015.0,5655.0,1045.0,0.0,130.0,115.0,3255.0,920.0,1545.0,1315.0,880.0,2110.0,460.0,430.0,90.0,780.0,525.0,135.0,365.0,220.0,1955.0,320.0,230.0,295.0
1533,missouri,miller,4623275,240675.0,39720.0,8990.0,425.0,900.0,2260.0,13690.0,10310.0,15465.0,9240.0,8635.0,1710.0,7195.0,5440.0,790.0,9240.0,2915.0,755.0,2750.0,2795.0,10430.0,5615.0,3555.0,4150.0
1534,missouri,mississippi,3699070,190050.0,20150.0,5380.0,0.0,605.0,220.0,6670.0,7345.0,5385.0,4020.0,4675.0,2135.0,1875.0,2495.0,450.0,3230.0,3125.0,145.0,1210.0,2125.0,6505.0,2010.0,1065.0,1725.0
1535,missouri,moniteau,3699470,77050.0,25975.0,5660.0,0.0,645.0,580.0,10665.0,5365.0,7105.0,6190.0,5475.0,1985.0,4045.0,4695.0,955.0,2820.0,1150.0,415.0,2065.0,1270.0,7005.0,2265.0,1745.0,4385.0
1536,missouri,monroe,2774865,144030.0,16050.0,3225.0,40.0,510.0,320.0,6140.0,3005.0,4845.0,2405.0,4975.0,1130.0,1685.0,3730.0,385.0,2690.0,1940.0,325.0,1045.0,1095.0,4660.0,1060.0,890.0,735.0
1537,missouri,montgomery,3700170,194050.0,21530.0,3495.0,55.0,540.0,50.0,5610.0,5425.0,6260.0,4100.0,6000.0,1675.0,2225.0,4630.0,800.0,3955.0,1575.0,390.0,1235.0,1115.0,5130.0,1890.0,1330.0,1445.0
1538,missouri,morgan,4625775,117575.0,25805.0,5690.0,65.0,1295.0,905.0,10145.0,6060.0,8600.0,5715.0,6895.0,2625.0,4860.0,4300.0,1065.0,4540.0,1785.0,495.0,1100.0,1970.0,7590.0,2335.0,2245.0,2505.0
1539,missouri,new madrid,5551755,288105.0,31980.0,3850.0,15.0,1045.0,260.0,10015.0,6910.0,8510.0,5980.0,7995.0,3040.0,1870.0,7010.0,500.0,4990.0,2525.0,655.0,1565.0,1110.0,9360.0,2550.0,1970.0,2265.0
1540,missouri,newton,11106210,12330.300000000003,101920.0,15495.0,25.0,2215.0,2930.0,37265.0,19785.0,33940.0,15025.0,25465.0,3785.0,9450.0,23650.0,4175.0,16570.0,9165.0,2365.0,5105.0,9460.0,25915.0,9475.0,7540.0,4825.0
1541,missouri,nodaway,4628650,117575.0,44615.0,5915.0,40.0,3970.0,320.0,15790.0,13130.0,13155.0,5160.0,12280.0,2955.0,2635.0,10775.0,900.0,8255.0,1875.0,690.0,1400.0,2480.0,15740.0,7750.0,2385.0,1675.0
1542,missouri,oregon,2777490,72030.0,14380.0,2265.0,250.0,400.0,160.0,3590.0,3615.0,4355.0,2885.0,4350.0,1350.0,2115.0,2230.0,365.0,2475.0,1870.0,185.0,355.0,735.0,4560.0,1125.0,525.0,905.0
1543,missouri,osage,3703670,98050.0,24275.0,5825.0,0.0,575.0,175.0,9280.0,4135.0,8460.0,5550.0,6375.0,2010.0,4755.0,5485.0,1520.0,3535.0,1415.0,495.0,1440.0,1540.0,5320.0,710.0,1480.0,4095.0
