,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
700,Lincoln,NC,83770,31530,32987,3632,9004,10064,14360,8903,4014,1364,83770,77586,5638,434,0,0,938,7723,11829,12877
699,Iredell,NC,178435,63329,67112,10176,20993,23617,26238,16741,8579,2547,178435,152389,19625,6157,5404,0,2287,20216,24565,24763
702,Cass,ND,181516,67337,65467,18882,31822,24471,18395,12327,6066,3206,181516,159837,12721,4329,7831,0,1144,25879,21350,19118
703,Ward,ND,67744,26864,23269,7127,12494,8671,6537,4562,2476,1424,67744,61421,3854,2486,1701,0,1258,9411,8044,6998
69,Burleigh,ND,95273,36495,36457,6768,13718,12187,10777,8440,4056,2661,95273,87681,2643,4840,1172,0,736,12180,12233,12253
502,Grand Forks,ND,70770,26529,25468,10457,11158,7088,7330,5070,2618,1175,70770,60001,3717,2912,2694,0,2868,8437,9945,7492
53,Douglas,NE,566880,189736,201804,36688,88115,75845,66217,44590,19531,9740,566880,463119,71679,9663,28050,488,14612,82221,77956,65977
54,Lancaster,NE,317272,116773,115837,34499,44431,40555,33440,26715,11966,5149,317272,284465,18137,4985,17736,380,6325,39882,44800,35835
55,Sarpy,NE,184459,64962,65440,11545,26135,26478,22749,13398,5890,2881,184459,165093,11009,2012,7653,571,6617,27951,27240,20192
167,Strafford,NH,130090,49766,53194,12659,16833,14463,16634,11333,5385,2464,130090,123852,2515,1112,5407,0,372,13223,19155,17941
587,Merrimack,NH,151132,58810,60543,9472,18560,17742,20789,17002,7546,3875,151132,144627,2599,1445,4046,485,745,14032,18848,23266
284,Grafton,NH,89786,35152,37738,6969,11151,8619,10747,11006,5403,2226,89786,84640,1592,839,4005,0,392,7843,11995,13827
57,Hillsborough,NH,415247,155821,160315,26775,55963,51099,59604,38228,17986,8636,415247,377435,19705,2946,21485,0,5547,44448,50119,62389
56,Cheshire,NH,76493,30166,32347,5185,9144,7740,9651,8994,4857,1244,76493,74072,1173,773,2336,0,340,6431,11260,11987
588,Rockingham,NH,309176,120136,124560,16257,36704,36103,47155,33773,14831,6797,309176,298660,3955,2035,8121,753,2827,29242,36988,51326
689,Sussex,NJ,140799,54406,55750,8351,15815,15713,21491,14613,7116,1947,140799,133110,4112,489,4058,0,1328,13619,17701,24433
388,Hunterdon,NJ,124714,47706,48900,7941,10894,13691,20290,14129,6229,2922,124714,115029,4671,837,6136,0,0,11930,15550,21138
168,Burlington,NJ,445384,165882,173286,27921,55410,56268,62765,42934,22611,9730,445384,332098,85733,2839,28846,0,14321,48569,53828,65348
169,Camden,NJ,507078,175682,196491,30320,70544,64583,67559,46138,23966,9136,507078,322858,113603,3063,33869,613,50868,60455,65629,68748
170,Essex,NJ,799767,245847,275682,50926,110255,111910,111582,61942,30948,15642,799767,341686,328783,3921,51643,1561,92679,106149,102376,98037
171,Mercer,NJ,369811,120346,132551,29475,46290,46817,51373,32615,16193,7193,369811,233988,78700,1630,45186,0,18197,40822,50478,48555
589,Gloucester,NJ,291408,106831,115192,18191,35875,35962,41826,27623,12897,6059,291408,245528,35014,2102,10764,0,6723,32151,39595,41229
688,Somerset,NJ,331164,113515,121193,19964,36719,44330,49692,28538,15854,7227,331164,228214,36027,2127,65147,0,10374,34332,45556,48952
591,Union,NJ,558067,169472,186815,33732,71713,76709,79069,45176,23226,11851,558067,308479,127858,4687,34408,0,96868,72973,70898,72720
590,Ocean,NJ,601651,210231,234549,32203,66301,60303,70028,72024,45707,18547,601651,554187,25541,3541,13928,0,14388,78660,77034,80844
687,Salem,NJ,62607,22642,25256,3338,7665,7451,8318,6759,3545,1431,62607,50431,9911,443,809,0,1986,6679,8165,9256
686,Morris,NJ,494228,175487,186679,30923,53395,61017,75741,46320,25557,12437,494228,415386,21994,2300,57651,513,10037,50237,65736,72865
783,Bergen,NJ,936692,306522,336397,55100,108369,123722,136019,87492,47451,26056,936692,686999,67214,6123,168626,1927,35791,104115,115342,133026
684,Atlantic,NJ,265429,91129,101048,19372,29001,30194,36266,27356,15134,5068,265429,181880,43985,1930,25462,583,22847,30478,32625,39935
784,Monmouth,NJ,621354,223209,242290,36881,67041,71733,92287,62724,31911,14565,621354,529284,52532,1297,39694,0,11159,63194,83208,97810
785,Passaic,NJ,503310,152806,168912,34491,67113,64637,65832,41271,22683,9257,503310,323896,63693,1929,30426,1040,95025,66379,67647,64000
685,Middlesex,NJ,829685,269294,281344,54125,112507,114184,113665,71032,34948,18158,829685,489060,96254,5267,212950,1123,54559,96380,106319,108367
58,Cape May,NJ,92560,37802,38748,5483,10592,8476,11974,13585,7848,2635,92560,85163,4704,0,1913,0,3416,7482,8509,15976
59,Cumberland,NJ,150972,55668,53081,8797,21101,21189,19057,13681,7224,2317,150972,102519,33314,3056,2704,0,15112,18445,20827,18334
60,Hudson,NJ,676061,192882,204363,40663,142840,106909,82350,45607,23586,10725,676061,379752,95080,7646,118147,1136,105543,82527,68834,72020
786,Warren,NJ,105779,40417,42031,6077,11653,11793,16415,10794,5544,2855,105779,95143,6856,513,3682,0,3189,10023,13547,17078
61,San Juan,NM,125043,44948,45908,6680,16918,16191,13323,11230,5648,2223,125043,69361,1901,52479,1566,0,3406,17530,19184,16116
690,Chaves,NM,64689,21242,23668,4085,8312,7341,7692,5905,3366,1559,64689,55622,1960,1421,628,0,6538,8605,9918,7906
691,Doña Ana,NM,217522,70179,73893,22577,28055,24386,22848,19851,11810,3125,217522,196345,5373,3661,3931,0,12826,28689,32009,24172
